Year,Series,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,EU_COV_PENSN,,,,,,,Irun,Porcentaje,Irun,25.4
2023,EU_COV_PENSN,,,,,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,14.7
2022,EU_COV_PENSN,,,,,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,14.5
2023,EU_COV_PENSN,,,,,,,Irura,Porcentaje,Irura,13.3
2022,EU_COV_PENSN,,,,,,,Irura,Porcentaje,Irura,12.8
2022,EU_COV_PENSN,,,,,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,26.5
2023,EU_COV_PENSN,,,,,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,26.6
2022,EU_COV_PENSN,,,,,,,Ispaster,Porcentaje,Ispaster,26.0
2023,EU_COV_PENSN,,,,,,,Ispaster,Porcentaje,Ispaster,25.1
2023,EU_COV_PENSN,,,,,,,Itsasondo,Porcentaje,Itsasondo,21.5
2022,EU_COV_PENSN,,,,,,,Itsasondo,Porcentaje,Itsasondo,21.6
2023,EU_COV_PENSN,,,,,,,Iurreta,Porcentaje,Iurreta,25.9
2022,EU_COV_PENSN,,,,,,,Iurreta,Porcentaje,Iurreta,25.9
2023,EU_COV_PENSN,,,,,,,Izurtza,Porcentaje,Izurtza,26.5
2022,EU_COV_PENSN,,,,,,,Izurtza,Porcentaje,Izurtza,27.6
2022,EU_COV_PENSN,,,,,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,29.1
2023,EU_COV_PENSN,,,,,,,Karrantza Harana/Valle de Carranza,Porcentaje,Karrantza Harana/Valle de Carranza,29.0
2022,EU_COV_PENSN,,,,,,,Kortezubi,Porcentaje,Kortezubi,22.5
2023,EU_COV_PENSN,,,,,,,Kortezubi,Porcentaje,Kortezubi,22.1
2022,EU_COV_PENSN,,,,,,,Kripan,Porcentaje,Kripan,23.6
2023,EU_COV_PENSN,,,,,,,Kripan,Porcentaje,Kripan,23.2
2022,EU_COV_PENSN,,,,,,,Kuartango,Porcentaje,Kuartango,24.7
2023,EU_COV_PENSN,,,,,,,Kuartango,Porcentaje,Kuartango,26.8
2023,EU_COV_PENSN,,,,,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,20.9
2022,EU_COV_PENSN,,,,,,,Labastida/Bastida,Porcentaje,Labastida/Bastida,20.9
2022,EU_COV_PENSN,,,,,,,Lagrán,Porcentaje,Lagrán,23.2
2023,EU_COV_PENSN,,,,,,,Lagrán,Porcentaje,Lagrán,23.0
2022,EU_COV_PENSN,,,,,,,Laguardia,Porcentaje,Laguardia,22.7
2023,EU_COV_PENSN,,,,,,,Laguardia,Porcentaje,Laguardia,23.0
2022,EU_COV_PENSN,,,,,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,24.3
2023,EU_COV_PENSN,,,,,,,Lanciego/Lantziego,Porcentaje,Lanciego/Lantziego,24.1
2023,EU_COV_PENSN,,,,,,,Lanestosa,Porcentaje,Lanestosa,28.8
2022,EU_COV_PENSN,,,,,,,Lanestosa,Porcentaje,Lanestosa,26.2
2022,EU_COV_PENSN,,,,,,,Lantarón,Porcentaje,Lantarón,20.3
2023,EU_COV_PENSN,,,,,,,Lantarón,Porcentaje,Lantarón,20.7
2022,EU_COV_PENSN,,,,,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,27.5
2023,EU_COV_PENSN,,,,,,,Lapuebla de Labarca,Porcentaje,Lapuebla de Labarca,27.8
2023,EU_COV_PENSN,,,,,,,Larrabetzu,Porcentaje,Larrabetzu,23.3
2022,EU_COV_PENSN,,,,,,,Larrabetzu,Porcentaje,Larrabetzu,23.0
2023,EU_COV_PENSN,,,,,,,Larraul,Porcentaje,Larraul,19.0
2022,EU_COV_PENSN,,,,,,,Larraul,Porcentaje,Larraul,20.0
2023,EU_COV_PENSN,,,,,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,26.5
2022,EU_COV_PENSN,,,,,,,Lasarte-Oria,Porcentaje,Lasarte-Oria,26.6
